dimension,num_prod,run,iters_to_NE,NE
10,50,17,18,[ 7.  9.  6.  4.  0.  5. 10.  2.  4.  3.]
10,50,18,19,[ 7.  9.  6.  4.  0.  5. 10.  2.  4.  3.]
10,50,19,14,[ 7.  9.  6.  4.  0.  5. 10.  2.  4.  3.]
10,60,0,23,[ 9. 11.  6.  5.  0.  5. 12.  3.  5.  4.]
10,60,1,22,[ 9. 11.  6.  5.  0.  5. 12.  3.  5.  4.]
10,60,2,25,[ 9. 11.  6.  5.  0.  5. 12.  3.  5.  4.]
10,60,3,16,[ 9. 11.  6.  5.  0.  5. 12.  3.  5.  4.]
10,60,4,26,[ 9. 11.  6.  5.  0.  5. 12.  3.  5.  4.]
10,60,5,26,[ 9. 11.  6.  5.  0.  5. 12.  3.  5.  4.]
10,60,6,24,[ 9. 11.  6.  5.  0.  5. 12.  3.  5.  4.]
10,60,7,26,[ 9. 11.  6.  5.  0.  5. 12.  3.  5.  4.]
10,60,8,22,[ 9. 11.  6.  5.  0.  5. 12.  3.  5.  4.]
10,60,9,25,[ 9. 11.  6.  5.  0.  5. 12.  3.  5.  4.]
10,60,10,15,[ 9. 11.  6.  5.  0.  5. 12.  3.  5.  4.]
10,60,11,21,[ 9. 11.  6.  5.  0.  5. 12.  3.  5.  4.]
10,60,12,18,[ 9. 11.  6.  5.  0.  5. 12.  3.  5.  4.]
10,60,13,21,[ 9. 11.  6.  5.  0.  5. 12.  3.  5.  4.]
10,60,14,24,[ 9. 11.  6.  5.  0.  5. 12.  3.  5.  4.]
10,60,15,18,[ 9. 11.  6.  5.  0.  5. 12.  3.  5.  4.]
10,60,16,22,[ 9. 11.  6.  5.  0.  5. 12.  3.  5.  4.]
10,60,17,23,[ 9. 11.  6.  5.  0.  5. 12.  3.  5.  4.]
10,60,18,20,[ 9. 11.  6.  5.  0.  5. 12.  3.  5.  4.]
10,60,19,20,[ 9. 11.  6.  5.  0.  5. 12.  3.  5.  4.]
10,70,0,23,[10. 13.  8.  5.  0.  6. 14.  4.  6.  4.]
10,70,1,14,[10. 13.  8.  5.  0.  6. 14.  4.  6.  4.]
10,70,2,26,[10. 13.  8.  5.  0.  6. 14.  4.  6.  4.]
10,70,3,22,[10. 13.  8.  5.  0.  6. 14.  4.  6.  4.]
10,70,4,27,[10. 13.  8.  5.  0.  6. 14.  4.  6.  4.]
10,70,5,27,[10. 13.  8.  5.  0.  6. 14.  4.  6.  4.]
10,70,6,25,[10. 13.  8.  5.  0.  6. 14.  4.  6.  4.]
10,70,7,21,[10. 13.  8.  5.  0.  6. 14.  4.  6.  4.]
10,70,8,25,[10. 13.  8.  5.  0.  6. 14.  4.  6.  4.]
10,70,9,20,[10. 13.  8.  5.  0.  6. 14.  4.  6.  4.]
10,70,10,22,[10. 13.  8.  5.  0.  6. 14.  4.  6.  4.]
10,70,11,23,[10. 13.  8.  5.  0.  6. 14.  4.  6.  4.]
10,70,12,32,[10. 13.  8.  5.  0.  6. 14.  4.  6.  4.]
10,70,13,26,[10. 13.  8.  5.  0.  6. 14.  4.  6.  4.]
10,70,14,24,[10. 13.  8.  5.  0.  6. 14.  4.  6.  4.]
10,70,15,24,[10. 13.  8.  5.  0.  6. 14.  4.  6.  4.]
10,70,16,24,[10. 13.  8.  5.  0.  6. 14.  4.  6.  4.]
10,70,17,31,[10. 13.  8.  5.  0.  6. 14.  4.  6.  4.]
10,70,18,30,[10. 13.  8.  5.  0.  6. 14.  4.  6.  4.]
10,70,19,27,[10. 13.  8.  5.  0.  6. 14.  4.  6.  4.]
10,80,0,24,[12. 15.  9.  6.  0.  7. 16.  4.  6.  5.]
10,80,1,35,[12. 15.  9.  6.  0.  7. 16.  4.  6.  5.]
10,80,2,36,[12. 15.  9.  6.  0.  7. 16.  4.  6.  5.]
10,80,3,35,[12. 15.  9.  6.  0.  7. 16.  4.  6.  5.]
10,80,4,33,[12. 15.  9.  6.  0.  7. 16.  4.  6.  5.]
10,80,5,29,[12. 15.  9.  6.  0.  7. 16.  4.  6.  5.]
10,80,6,33,[12. 15.  9.  6.  0.  7. 16.  4.  6.  5.]
10,80,7,25,[12. 15.  9.  6.  0.  7. 16.  4.  6.  5.]
10,80,8,29,[12. 15.  9.  6.  0.  7. 16.  4.  6.  5.]
10,80,9,28,[12. 15.  9.  6.  0.  7. 16.  4.  6.  5.]
10,80,10,33,[12. 15.  9.  6.  0.  7. 16.  4.  6.  5.]
10,80,11,36,[12. 15.  9.  6.  0.  7. 16.  4.  6.  5.]
10,80,12,31,[12. 15.  9.  6.  0.  7. 16.  4.  6.  5.]
10,80,13,31,[12. 15.  9.  6.  0.  7. 16.  4.  6.  5.]
10,80,14,27,[12. 15.  9.  6.  0.  7. 16.  4.  6.  5.]
10,80,15,37,[12. 15.  9.  6.  0.  7. 16.  4.  6.  5.]
10,80,16,28,[12. 15.  9.  6.  0.  7. 16.  4.  6.  5.]
10,80,17,26,[12. 15.  9.  6.  0.  7. 16.  4.  6.  5.]
10,80,18,17,[12. 15.  9.  6.  0.  7. 16.  4.  6.  5.]
10,80,19,29,[12. 15.  9.  6.  0.  7. 16.  4.  6.  5.]
10,90,0,27,[13. 16. 10.  7.  0.  8. 18.  5.  7.  6.]
10,90,1,24,[13. 16. 10.  7.  0.  8. 18.  5.  7.  6.]
10,90,2,28,[13. 16. 10.  7.  0.  8. 18.  5.  7.  6.]
10,90,3,31,[13. 16. 10.  7.  0.  8. 18.  5.  7.  6.]
10,90,4,35,[13. 16. 10.  7.  0.  8. 18.  5.  7.  6.]
10,90,5,35,[13. 16. 10.  7.  0.  8. 18.  5.  7.  6.]
10,90,6,26,[13. 16. 10.  7.  0.  8. 18.  5.  7.  6.]
10,90,7,35,[13. 16. 10.  7.  0.  8. 18.  5.  7.  6.]
