dimension,num_prod,run,iters_to_NE,NE
10,10,30,5,[0. 1. 1. 1. 2. 0. 0. 1. 2. 2.]
10,10,31,8,[0. 1. 1. 1. 2. 0. 0. 1. 2. 2.]
10,10,32,7,[0. 1. 1. 1. 2. 0. 0. 1. 2. 2.]
10,10,33,5,[0. 1. 1. 1. 2. 0. 0. 1. 2. 2.]
10,10,34,7,[0. 1. 1. 1. 2. 0. 0. 1. 2. 2.]
10,10,35,5,[0. 1. 1. 1. 2. 0. 0. 1. 2. 2.]
10,10,36,6,[0. 1. 1. 1. 2. 0. 0. 1. 2. 2.]
10,10,37,6,[0. 1. 1. 1. 2. 0. 0. 1. 2. 2.]
10,10,38,6,[0. 1. 1. 1. 2. 0. 0. 1. 2. 2.]
10,10,39,3,[0. 1. 1. 1. 2. 0. 0. 1. 2. 2.]
10,20,0,14,[1. 2. 3. 1. 3. 1. 0. 2. 3. 4.]
10,20,1,7,[1. 2. 3. 1. 3. 1. 0. 2. 3. 4.]
10,20,2,8,[1. 2. 3. 1. 3. 1. 0. 2. 3. 4.]
10,20,3,8,[1. 2. 3. 1. 3. 1. 0. 2. 3. 4.]
10,20,4,7,[1. 2. 3. 1. 3. 1. 0. 2. 3. 4.]
10,20,5,8,[1. 2. 3. 1. 3. 1. 0. 2. 3. 4.]
10,20,6,9,[1. 2. 3. 1. 3. 1. 0. 2. 3. 4.]
10,20,7,5,[1. 2. 3. 1. 3. 1. 0. 2. 3. 4.]
10,20,8,11,[1. 2. 3. 1. 3. 1. 0. 2. 3. 4.]
10,20,9,10,[1. 2. 3. 1. 3. 1. 0. 2. 3. 4.]
10,20,10,5,[1. 2. 3. 1. 3. 1. 0. 2. 3. 4.]
10,20,11,9,[1. 2. 3. 1. 3. 1. 0. 2. 3. 4.]
10,20,12,7,[1. 2. 3. 1. 3. 1. 0. 2. 3. 4.]
10,20,13,9,[1. 2. 3. 1. 3. 1. 0. 2. 3. 4.]
10,20,14,13,[1. 2. 3. 1. 3. 1. 0. 2. 3. 4.]
10,20,15,8,[1. 2. 3. 1. 3. 1. 0. 2. 3. 4.]
10,20,16,13,[1. 2. 3. 1. 3. 1. 0. 2. 3. 4.]
10,20,17,10,[1. 2. 3. 1. 3. 1. 0. 2. 3. 4.]
10,20,18,14,[1. 2. 3. 1. 3. 1. 0. 2. 3. 4.]
10,20,19,10,[1. 2. 3. 1. 3. 1. 0. 2. 3. 4.]
10,20,20,12,[1. 2. 3. 1. 3. 1. 0. 2. 3. 4.]
10,20,21,11,[1. 2. 3. 1. 3. 1. 0. 2. 3. 4.]
10,20,22,8,[1. 2. 3. 1. 3. 1. 0. 2. 3. 4.]
10,20,23,11,[1. 2. 3. 1. 3. 1. 0. 2. 3. 4.]
10,20,24,10,[1. 2. 3. 1. 3. 1. 0. 2. 3. 4.]
10,20,25,12,[1. 2. 3. 1. 3. 1. 0. 2. 3. 4.]
10,20,26,5,[1. 2. 3. 1. 3. 1. 0. 2. 3. 4.]
10,20,27,6,[1. 2. 3. 1. 3. 1. 0. 2. 3. 4.]
10,20,28,6,[1. 2. 3. 1. 3. 1. 0. 2. 3. 4.]
10,20,29,8,[1. 2. 3. 1. 3. 1. 0. 2. 3. 4.]
10,20,30,10,[1. 2. 3. 1. 3. 1. 0. 2. 3. 4.]
10,20,31,3,[1. 2. 3. 1. 3. 1. 0. 2. 3. 4.]
10,20,32,10,[1. 2. 3. 1. 3. 1. 0. 2. 3. 4.]
10,20,33,9,[1. 2. 3. 1. 3. 1. 0. 2. 3. 4.]
10,20,34,6,[1. 2. 3. 1. 3. 1. 0. 2. 3. 4.]
10,20,35,8,[1. 2. 3. 1. 3. 1. 0. 2. 3. 4.]
10,20,36,11,[1. 2. 3. 1. 3. 1. 0. 2. 3. 4.]
10,20,37,11,[1. 2. 3. 1. 3. 1. 0. 2. 3. 4.]
10,20,38,10,[1. 2. 3. 1. 3. 1. 0. 2. 3. 4.]
10,20,39,11,[1. 2. 3. 1. 3. 1. 0. 2. 3. 4.]
10,30,0,15,[1. 2. 4. 2. 4. 2. 0. 3. 5. 7.]
10,30,1,13,[1. 2. 4. 2. 4. 2. 0. 3. 5. 7.]
10,30,2,16,[1. 2. 4. 2. 4. 2. 0. 3. 5. 7.]
10,30,3,13,[1. 2. 4. 2. 4. 2. 0. 3. 5. 7.]
10,30,4,9,[1. 2. 4. 2. 4. 2. 0. 3. 5. 7.]
10,30,5,11,[1. 2. 4. 2. 4. 2. 0. 3. 5. 7.]
10,30,6,17,[1. 2. 4. 2. 4. 2. 0. 3. 5. 7.]
10,30,7,8,[1. 2. 4. 2. 4. 2. 0. 3. 5. 7.]
10,30,8,12,[1. 2. 4. 2. 4. 2. 0. 3. 5. 7.]
10,30,9,13,[1. 2. 4. 2. 4. 2. 0. 3. 5. 7.]
10,30,10,10,[1. 2. 4. 2. 4. 2. 0. 3. 5. 7.]
10,30,11,8,[1. 2. 4. 2. 4. 2. 0. 3. 5. 7.]
10,30,12,13,[1. 2. 4. 2. 4. 2. 0. 3. 5. 7.]
