dimension,num_prod,run,iters_to_NE,NE
10,80,12,66,[ 0.  0.  0. 13. 67.  0.  0.  0.  0.  0.]
10,80,13,65,[ 0.  0.  0. 13. 67.  0.  0.  0.  0.  0.]
10,80,14,76,[ 0.  0.  0. 13. 67.  0.  0.  0.  0.  0.]
10,80,15,62,[ 0.  0.  0. 13. 67.  0.  0.  0.  0.  0.]
10,80,16,72,[ 0.  0.  0. 13. 67.  0.  0.  0.  0.  0.]
10,80,17,70,[ 0.  0.  0. 13. 67.  0.  0.  0.  0.  0.]
10,80,18,73,[ 0.  0.  0. 13. 67.  0.  0.  0.  0.  0.]
10,80,19,62,[ 0.  0.  0. 13. 67.  0.  0.  0.  0.  0.]
10,90,0,79,[ 0.  0.  0. 15. 75.  0.  0.  0.  0.  0.]
10,90,1,75,[ 0.  0.  0. 15. 75.  0.  0.  0.  0.  0.]
10,90,2,75,[ 0.  0.  0. 15. 75.  0.  0.  0.  0.  0.]
10,90,3,80,[ 0.  0.  0. 15. 75.  0.  0.  0.  0.  0.]
10,90,4,77,[ 0.  0.  0. 15. 75.  0.  0.  0.  0.  0.]
10,90,5,77,[ 0.  0.  0. 15. 75.  0.  0.  0.  0.  0.]
10,90,6,72,[ 0.  0.  0. 15. 75.  0.  0.  0.  0.  0.]
10,90,7,83,[ 0.  0.  0. 15. 75.  0.  0.  0.  0.  0.]
10,90,8,81,[ 0.  0.  0. 15. 75.  0.  0.  0.  0.  0.]
10,90,9,68,[ 0.  0.  0. 15. 75.  0.  0.  0.  0.  0.]
10,90,10,80,[ 0.  0.  0. 15. 75.  0.  0.  0.  0.  0.]
10,90,11,76,[ 0.  0.  0. 15. 75.  0.  0.  0.  0.  0.]
10,90,12,81,[ 0.  0.  0. 15. 75.  0.  0.  0.  0.  0.]
10,90,13,72,[ 0.  0.  0. 15. 75.  0.  0.  0.  0.  0.]
10,90,14,76,[ 0.  0.  0. 15. 75.  0.  0.  0.  0.  0.]
10,90,15,80,[ 0.  0.  0. 15. 75.  0.  0.  0.  0.  0.]
10,90,16,81,[ 0.  0.  0. 15. 75.  0.  0.  0.  0.  0.]
10,90,17,75,[ 0.  0.  0. 15. 75.  0.  0.  0.  0.  0.]
10,90,18,76,[ 0.  0.  0. 15. 75.  0.  0.  0.  0.  0.]
10,90,19,79,[ 0.  0.  0. 15. 75.  0.  0.  0.  0.  0.]
10,100,0,92,[ 0.  0.  0. 17. 83.  0.  0.  0.  0.  0.]
10,100,1,89,[ 0.  0.  0. 17. 83.  0.  0.  0.  0.  0.]
10,100,2,87,[ 0.  0.  0. 17. 83.  0.  0.  0.  0.  0.]
10,100,3,90,[ 0.  0.  0. 17. 83.  0.  0.  0.  0.  0.]
10,100,4,86,[ 0.  0.  0. 17. 83.  0.  0.  0.  0.  0.]
10,100,5,89,[ 0.  0.  0. 17. 83.  0.  0.  0.  0.  0.]
10,100,6,91,[ 0.  0.  0. 17. 83.  0.  0.  0.  0.  0.]
10,100,7,90,[ 0.  0.  0. 17. 83.  0.  0.  0.  0.  0.]
10,100,8,87,[ 0.  0.  0. 17. 83.  0.  0.  0.  0.  0.]
10,100,9,88,[ 0.  0.  0. 17. 83.  0.  0.  0.  0.  0.]
10,100,10,85,[ 0.  0.  0. 17. 83.  0.  0.  0.  0.  0.]
10,100,11,91,[ 0.  0.  0. 17. 83.  0.  0.  0.  0.  0.]
10,100,12,90,[ 0.  0.  0. 17. 83.  0.  0.  0.  0.  0.]
10,100,13,89,[ 0.  0.  0. 17. 83.  0.  0.  0.  0.  0.]
10,100,14,84,[ 0.  0.  0. 17. 83.  0.  0.  0.  0.  0.]
10,100,15,90,[ 0.  0.  0. 17. 83.  0.  0.  0.  0.  0.]
10,100,16,87,[ 0.  0.  0. 17. 83.  0.  0.  0.  0.  0.]
10,100,17,81,[ 0.  0.  0. 17. 83.  0.  0.  0.  0.  0.]
10,100,18,84,[ 0.  0.  0. 17. 83.  0.  0.  0.  0.  0.]
10,100,19,89,[ 0.  0.  0. 17. 83.  0.  0.  0.  0.  0.]
